LineNum,W=a,W=all,W=am,W=and,W=are,W=as,W=at,W=be,W=but,W=can,W=do,W=for,W=had,W=have,W=he,W=here,W=i,W=if,W=in,W=is,W=it,W=know,W=little,W=me,W=must,W=my,W=no,W=not,W=now,W=of,W=on,W=one,W=so,W=that,W=the,W=then,W=there,W=think,W=this,W=to,W=was,W=well,W=what,W=will,W=with,W=yes,W=you,W=your,distribution_nora,distribution_helmer,distribution_mrslinde,distribution_krogstad,distribution_rank,character_name
24,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,1,1,0,2,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,2,1,0,1,0,0,1,5,0,0.280738,0.00031,0.088425,0.050954,0.579573,nora
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247631,0.171367,0.213386,0.141212,0.226404,nora
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177437,0.223495,0.284667,0.133902,0.180499,nora
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.116706,0.003223,0.010487,0.747312,0.122273,nora
28,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.805593,0.048925,0.00984,0.039068,0.096573,nora
29,2,0,0,3,1,0,1,0,0,0,1,2,2,2,0,0,3,0,1,2,2,0,2,2,0,1,2,0,1,0,2,0,0,2,2,0,2,0,0,0,1,1,2,2,1,2,7,0,0.996057,0.003105,0.000184,0.000653,0,nora
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169291,0.152021,0.184229,0.192616,0.301843,nora
31,0,1,0,0,2,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0.779938,0.011498,0.142735,0.06583,0,nora
32,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.866831,0.002799,0.000173,0.073444,0.056754,nora
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18915,0.163228,0.284429,0.143332,0.21986,nora
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.18178,0.126766,0.354531,0.243615,0.093307,nora
35,4,1,3,5,0,4,1,2,0,1,2,3,1,6,2,1,11,0,3,5,3,0,2,5,1,5,4,1,3,4,1,0,1,4,1,1,2,2,1,7,0,0,2,1,0,1,5,0,0.706458,0.292902,0.000554,0.000085,0,nora
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0.280528,0.090037,0.006622,0.526051,0.096762,nora
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152831,0.135138,0.3494,0.059109,0.303522,nora
38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.523988,0.173018,0.056792,0.103994,0.142208,nora
39,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0.327329,0.002279,0.285714,0.120508,0.264171,nora
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214396,0.388547,0.32642,0.051189,0.019448,nora
41,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,1,2,0,0.279435,0.1093,0.037895,0.137221,0.436149,nora
42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230302,0.126504,0.40947,0.058229,0.175495,nora
43,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0.424819,0.285383,0.230617,0.059181,0,nora
44,2,2,2,6,0,3,1,7,1,2,0,1,0,1,1,1,6,0,0,1,6,0,1,0,0,1,1,0,2,4,0,0,0,1,7,0,1,3,0,10,2,0,0,2,1,0,1,0,0.874255,0.125723,0.000008,0.000013,0,nora
45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.033876,0.607747,0.237812,0.062419,0.058146,nora
