character_name,character_speech
nora ,"['må', 'jeg', 'forestille', 'dig', '–', 'det', 'er', 'kristine', 'som', 'er', 'kommen', 'til', 'byen']"
helmer ,"['kristine', '–', 'om', 'forladelse', 'men', 'jeg', 'ved', 'ikke', '–']"
nora ,"['frulinde', 'kære', 'torvald', 'fru', 'kristine', 'linde']"
helmer ,"['ah', 'så', 'formodentlig', 'en', 'barndomsveninde', 'af', 'min', 'hustru']"
frulinde ,"['ja', 'vi', 'har', 'kendt', 'hinanden', 'i', 'tidligere', 'dage']"
nora ,"['og', 'tænk', 'nu', 'har', 'hun', 'gjort', 'den', 'lange', 'rejse', 'herind', 'for', 'at', 'få', 'tale', 'med', 'dig']"
helmer ,"['hvad', 'skal', 'det', 'sige']"
frulinde ,"['ja', 'ikke', 'egentlig', '–']"
nora ,"['kristine', 'er', 'nemlig', 'så', 'umådelig', 'flink', 'i', 'kon', 'torarbejde', 'og', 'så', 'har', 'hun', 'en', 'sådan', 'uhyre', 'lyst', 'til', 'at', 'komme', 'under', 'en', 'dygtig', 'mands', 'ledelse', 'og', 'lære', 'mere', 'end', 'det', 'hun', 'alt', 'kan', '–']"
helmer ,"['meget', 'fornuftigt', 'frue']"
nora ,"['og', 'da', 'hun', 'så', 'hørte', 'at', 'du', 'var', 'bleven', 'bank', 'direktør', '–', 'der', 'kom', 'telegram', 'om', 'det', '–', 'så', 'rejste', 'hun', 'så', 'fort', 'hun', 'kunde', 'herind', 'og', '–', 'ikke', 'sandt', 'torvald', 'du', 'kan', 'nok', 'for', 'min', 'skyld', 'gøre', 'lidt', 'for', 'kristine', 'hvad']"
helmer ,"['jo', 'det', 'var', 'slet', 'ikke', 'umuligt', 'fruen', 'er', 'for', 'modentlig', 'enke']"
frulinde ,['ja']
helmer ,"['og', 'har', 'øvelse', 'i', 'kontorforretninger']"
frulinde ,"['ja', 'så', 'temmelig']"
helmer ,"['nå', 'da', 'er', 'det', 'højst', 'rimeligt', 'at', 'jeg', 'kan', 'skaffe', 'dem', 'en', 'ansættelse', '–']"
nora ,"['ser', 'du', 'ser', 'du']"
helmer ,"['de', 'er', 'kommen', 'i', 'et', 'heldigt', 'øjeblik', 'frue', '–']"
frulinde ,"['å', 'hvorledes', 'skal', 'jeg', 'takke', 'dem', '–', '\u200b', 'helmer', 'behøves', 'slet', 'ikke', 'men', 'idag', 'må', 'de', 'have', 'mig', 'undskyldt', '–']"
rank ,"['vent', 'jeg', 'går', 'med', 'dig']"
nora ,"['bliv', 'ikke', 'længe', 'ude', 'kære', 'torvald']"
helmer ,"['en', 'times', 'tid', 'ikke', 'mere']"
nora ,"['går', 'du', 'også', 'kristine']"
frulinde ,"['ja', 'nu', 'må', 'jeg', 'ud', 'og', 'se', 'mig', 'om', 'efter', 'et', 'værelse']"
helmer ,"['så', 'går', 'vi', 'kanske', 'ned', 'over', 'gaden', 'sammen']"
nora ,"['hvor', 'kedeligt', 'at', 'vi', 'skal', 'bo', 'så', 'indskrænket', 'men', 'det', 'er', 'os', 'umuligt', 'at', '–']"
frulinde ,"['å', 'hvad', 'tænker', 'du', 'på', 'farvel', 'kære', 'nora', 'og', 'tak', 'for', 'alt']"
nora ,"['farvel', 'sålænge', 'ja', 'iaften', 'kommer', 'du', 'natur', 'ligvis', 'igen', 'og', 'de', 'også', 'doktor', 'rank', 'hvad', 'om', 'de', 'blir', 'så', 'bra’', 'å', 'jo', 'såmæn', 'gør', 'de', 'så', 'pak', 'dem', 'bare', 'godt', 'ind']"
nora ,"['der', 'er', 'de', 'der', 'er', 'de']"
nora ,"['kom', 'ind', 'kom', 'ind', 'å', 'i', 'søde', 'velsignede', '–', 'ser', 'du', 'dem', 'kristine', 'er', 'de', 'ikke', 'dejlige']"
rank ,"['ikke', 'passiar', 'her', 'i', 'luftdraget']"
helmer ,"['kom', 'fru', 'linde', 'nu', 'blir', 'her', 'ikke', 'udholde', 'ligt', 'for', 'andre', 'end', 'mødre']"
nora ,"['hvor', 'friske', 'og', 'kække', 'i', 'ser', 'ud', 'nej', 'for', 'røde', 'kinder', 'i', 'har', 'fået', 'som', 'æbler', 'og', 'roser', 'har', 'i', 'moret', 'jer', 'så', 'godt', 'det', 'var', 'jo', 'prægtigt', 'ja', 'så', 'du', 'har', 'trukket', 'både', 'emmy', 'og', 'bob', 'på', 'kælken', 'nej', 'tænk', 'på', 'engang', 'ja', 'du', 'er', 'en', 'flink', 'gut', 'ivar', 'å', 'lad', 'mig', 'holde', 'hende', 'lidt', 'annemarie', 'mit', 'søde', 'lille', 'dukkebarn', 'ja', 'ja', 'mamma', 'skal', 'danse', 'med', 'bob', 'også', 'hvad', 'har', 'i', 'kastet', 'snebold', 'å', 'der', 'skulde', 'jeg', 'have', 'været', 'med', 'nej', 'ikke', 'det', 'jeg', 'vil', 'selv', 'klæde', 'dem', 'af', 'annemarie', 'å', 'jo', 'lad', 'mig', 'få', 'lov', 'det', 'er', 'så', 'morsomt', 'gå', 'ind', 'så', 'længe', 'du', 'ser', 'så', 'forfrossen', 'ud', 'der', 'står', 'varm', 'kaffe', 'til', 'dig', 'på', 'ovnen']"
nora ,"['ja', 'så', 'så', 'der', 'var', 'en', 'stor', 'hund', 'som', 'løb', 'efter', 'jer', 'men', 'den', 'bed', 'ikke', 'nej', 'hundene', 'bider', 'ikke', 'små', 'dejlige', 'dukkebørn', 'ikke', 'se', 'i', 'pakkerne', 'ivar', 'hvad', 'det', 'er', 'ja', 'det', 'skulde', 'i', 'bare', 'vide', 'å', 'nej', 'nej', 'det', 'er', 'noget', 'fælt', 'noget', 'så', 'skal', 'vi', 'lege', 'hvad', 'skal', 'vi', 'lege', 'gemmespil', 'ja', 'lad', 'os', 'lege', 'gemmespil', 'bob', 'skal', 'gemme', 'sig', 'først', 'skal', 'jeg', 'ja', 'lad', 'mig', 'gemme', 'mig', 'først']"
krogstad ,"['om', 'forladelse', 'fru', 'helmer', '–']"
nora ,"['ah', 'hvad', 'vil', 'de']"
krogstad ,"['undskyld', 'yderdøren', 'stod', 'påklem', 'der', 'må', 'nogen', 'have', 'glemt', 'at', 'lukke', 'den', '–']"
nora ,"['min', 'mand', 'er', 'ikke', 'hjemme', 'herr', 'krogstad']"
krogstad ,"['jeg', 'ved', 'det']"
nora ,"['ja', '–', 'hvad', 'vil', 'de', 'så', 'her', '\u200b', 'krogstad', 'tale', 'et', 'ord', 'med', 'dem']"
nora ,"['med', '–', 'gå', 'ind', 'til', 'anne', 'marie', 'hvad', 'nej', 'den', 'fremmede', 'mand', 'vil', 'ikke', 'gøre', 'mamma', 'noget', 'ondt', 'når', 'han', 'er', 'gået', 'skal', 'vi', 'lege', 'igen']"
nora ,"['de', 'vil', 'tale', 'med', 'mig']"
krogstad ,"['ja', 'jeg', 'vil', 'det']"
nora ,"['idag', '–', 'men', 'vi', 'har', 'jo', 'endnu', 'ikke', 'den', 'første', 'i', 'måneden', '–']"
krogstad ,"['nej', 'vi', 'har', 'julaften', 'det', 'vil', 'komme', 'an', 'på', 'dem', 'selv', 'hvad', 'juleglæde', 'de', 'får']"
nora ,"['hvad', 'er', 'det', 'de', 'vil', 'jeg', 'kan', 'aldeles', 'ikke', 'idag', '–']"
krogstad ,"['det', 'skal', 'vi', 'indtil', 'videre', 'ikke', 'snakke', 'om', 'det', 'er', 'noget', 'andet', 'de', 'har', 'dog', 'vel', 'tid', 'et', 'øjeblik']"
nora ,"['å', 'ja', 'ja', 'visst', 'det', 'har', 'jeg', 'nok', 'endskønt', '–']"
krogstad ,"['godt', 'jeg', 'sad', 'inde', 'på', 'olsens', 'restauration', 'og', 'så', 'deres', 'mand', 'gå', 'nedover', 'gaden', '–']"
nora ,"['ja', 'vel']"
krogstad ,"['–', 'med', 'en', 'dame']"
nora ,"['og', 'hvad', 'så']"
krogstad ,"['måtte', 'jeg', 'være', 'så', 'fri', 'at', 'spørge', 'var', 'ikke', 'den', 'dame', 'en', 'fru', 'linde']"
nora ,['jo']
krogstad ,"['netop', 'kommen', 'til', 'byen']"
nora ,"['ja', 'idag']"
krogstad ,"['hun', 'er', 'jo', 'en', 'god', 'veninde', 'af', 'dem']"
nora ,"['jo', 'det', 'er', 'hun', 'men', 'jeg', 'indser', 'ikke', '–']"
krogstad ,"['jeg', 'har', 'også', 'kendt', 'hende', 'engang']"
nora ,"['det', 'ved', 'jeg']"
krogstad ,"['så', 'de', 'har', 'rede', 'på', 'den', 'sag', 'det', 'tænkte', 'jeg', 'nok', 'ja', 'må', 'jeg', 'så', 'spørge', 'dem', 'kort', 'og', 'godt', 'skal', 'fru', 'linde', 'have', 'nogen', 'ansættelse', 'i', 'aktiebanken']"
nora ,"['hvor', 'kan', 'de', 'tillade', 'dem', 'at', 'udspørge', 'mig', 'herr', 'krogstad', 'de', 'en', 'af', 'min', 'mands', 'underord', 'nede', 'men\u200b', 'siden', 'de', 'spørger', 'så', 'skal', 'de', 'få', 'vide', 'det', 'ja', 'fru', 'linde', 'skal', 'have', 'en', 'ansættelse', 'og', 'det', 'er', 'mig', 'som', 'har', 'talt', 'hendes', 'sag', 'herr', 'krog', 'stad', 'nu', 'ved', 'de', 'det']"
krogstad ,"['jeg', 'havde', 'altså', 'lagt', 'rigtig', 'sammen']"
nora ,"['å', 'man', 'har', 'dog', 'vel', 'altid', 'en', 'liden', 'smule', 'indflydelse', 'skulde', 'jeg', 'tro', 'fordi', 'om', 'man', 'er', 'en', 'kvinde', 'er', 'det', 'slet', 'ikke', 'derfor', 'sagt', 'at', '–', 'når', 'man', 'står', 'i', 'et', 'underordnet', 'forhold', 'herr', 'krogstad', 'så', 'burde', 'man', 'virkelig', 'vogte', 'sig', 'for', 'at', 'støde', 'nogen', 'som', '–', 'hm', '–']"
krogstad ,"['–', 'som', 'har', 'indflydelse']"
nora ,"['ja', 'netop']"
krogstad ,"['fru', 'helmer', 'vil', 'de', 'være', 'af', 'den', 'godhed', 'at', 'anvende', 'deres', 'indflydelse', 'til', 'fordel', 'for', 'mig']"
nora ,"['hvad', 'nu', 'hvad', 'mener', 'de']"
krogstad ,"['vil', 'de', 'være', 'så', 'god', 'at', 'sørge', 'for', 'at', 'jeg', 'be', 'holder', 'min', 'underordnede', 'stilling', 'i', 'banken']"
nora ,"['hvad', 'skal', 'det', 'sige', 'hvem', 'tænker', 'på', 'at', 'tage', 'deres', 'stilling', 'fra', 'dem']"
krogstad ,"['å', 'de', 'behøver', 'ikke', 'at', 'spille', 'den', 'uvidende', 'ligeover', 'for', 'mig', 'jeg', 'skønner', 'godt', 'at', 'det', 'ikke', 'kan', 'være', 'deres', 'veninde', 'behageligt', 'at', 'udsætte', 'sig', 'for', 'at', 'støde', 'sammen', 'med', 'mig', 'og', 'jeg', 'skønner', 'nu', 'også', 'hvem', 'jeg', 'kan', 'takke', 'for', 'at', 'jeg', 'skal', 'jages', 'væk']"
nora ,"['men', 'jeg', 'forsikrer', 'dem', '–']"
krogstad ,"['ja', 'ja', 'ja', 'kort', 'og', 'godt', 'det', 'er', 'endnu', 'tid', 'og', 'jeg', 'råder', 'dem', 'at', 'de', 'anvender', 'deres', 'ind', 'flydelse', 'for', 'at', 'forhindre', 'det']"
nora ,"['men', 'herr', 'krogstad', 'jeg', 'har', 'aldeles', 'ingen', 'indflydelse']"
krogstad ,"['ikke', 'det', 'jeg', 'syntes', 'de', 'nylig', 'selv', 'sagde', '–']"
nora ,"['det', 'var', 'naturligvis', 'ikke', 'således', 'at', 'forstå', 'jeg', 'hvor', 'kan', 'de', 'tro', 'at', 'jeg', 'har', 'nogen', 'sådan', 'indflydelse', 'på', 'min', 'mand', '\u200b', 'krogstad', 'å', 'jeg', 'kender', 'deres', 'mand', 'fra', 'studenter', 'dagene', 'jeg', 'tænker', 'ikke', 'herr', 'bankdirektøren', 'er', 'fastere', 'end', 'andre', 'ægtemænd']"
nora ,"['taler', 'de', 'ringeagtende', 'om', 'min', 'mand', 'så', 'viser', 'jeg', 'dem', 'døren']"
krogstad ,"['fruen', 'er', 'modig']"
nora ,"['jeg', 'er', 'ikke', 'bange', 'for', 'dem', 'længer', 'når', 'nytår', 'er', 'over', 'skal', 'jeg', 'snart', 'være', 'ude', 'af', 'det', 'hele']"
krogstad ,"['hør', 'mig', 'nu', 'frue', 'hvis', 'det', 'blir', 'nødvendigt', 'så', 'kommer', 'jeg', 'til', 'at', 'kæmpe', 'ligesom', 'på', 'livet', 'for', 'at', 'beholde', 'min', 'lille', 'post', 'i', 'banken']"
nora ,"['ja', 'det', 'lader', 'virkelig', 'til']"
krogstad ,"['det', 'er', 'ikke', 'bare', 'for', 'indtægtens', 'skyld', 'den', 'er', 'det', 'mig', 'endogså', 'mindst', 'om', 'at', 'gøre', 'men', 'der', 'er', 'noget', 'andet', '–', 'nå', 'ja', 'ud', 'med', 'det', 'det', 'er', 'dette', 'her', 'ser', 'de', 'de', 'ved', 'naturligvis', 'lige', 'så', 'godt', 'som', 'alle', 'andre', 'at', 'jeg', 'engang', 'for', 'en', 'del', 'år', 'siden', 'har', 'gjort', 'mig', 'skyldig', 'i', 'en', 'ubesindighed']"
nora ,"['jeg', 'tror', 'jeg', 'har', 'hørt', 'om', 'noget', 'sådant']"
krogstad ,"['sagen', 'kom', 'ikke', 'for', 'retten', 'men', 'alle', 'veje', 'blev', 'ligesom', 'stængte', 'for', 'mig', 'med', 'det', 'samme', 'så', 'slog', 'jeg', 'ind', 'på', 'de', 'forretninger', 'som', 'de', 'jo', 'ved', 'noget', 'måtte', 'jeg', 'jo', 'gribe', 'til', 'og', 'jeg', 'tør', 'sige', 'jeg', 'har', 'ikke', 'været', 'blandt', 'de', 'værste', 'men', 'nu', 'må', 'jeg', 'ud', 'af', 'alt', 'dette', 'mine', 'sønner', 'vokser', 'til', 'for', 'deres', 'skyld', 'må', 'jeg', 'se', 'at', 'skaffe', 'mig', 'til', 'bage', 'så', 'megen', 'borgerlig', 'agtelse', 'som', 'muligt', 'denne', 'post', 'i', 'banken', 'var', 'ligesom', 'det', 'første', 'trappe', 'trin', 'for', 'mig', 'og', 'nu', 'vil', 'deres', 'mand', 'sparke', 'mig', 'væk', 'fra', 'trappen', 'så', 'jeg', 'kommer', 'til', 'at', 'stå', 'nede', 'i', 'sølen', 'igen']"
nora ,"['men', 'for', 'guds', 'skyld', 'herr', 'krogstad', 'det', 'står', 'aldeles', 'ikke', 'i', 'min', 'magt', 'at', 'hjælpe', 'dem']"
krogstad ,"['det', 'er', 'fordi', 'de', 'ikke', 'har', 'vilje', 'til', 'det', 'men', 'jeg', 'har', 'midler', 'til', 'at', 'tvinge', 'dem']"
nora ,"['de', 'vil', 'dog', 'vel', 'ikke', 'fortælle', 'min', 'mand', 'at', 'jeg', 'skylder', 'dem', 'penge']"
krogstad ,"['hm', 'hvis', 'jeg', 'nu', 'fortalte', 'ham', 'det']"
nora ,"['det', 'vilde', 'være', 'skammeligt', 'handlet', 'af', 'dem', 'denne', 'hemmelighed', 'som', 'er', 'min', 'glæde', 'og', 'min', 'stolthed', 'den', 'skulde', 'han', 'få', 'vide', 'på', 'en', 'så', 'styg', 'og', 'plump', 'måde', '–', 'få', 'vide', 'den', 'af', 'dem', 'de', 'vil', 'udsætte', 'mig', 'for', 'de', 'frygteligste', 'ubehageligheder', '–']"
krogstad ,"['bare', 'ubehageligheder']"
nora ,"['men', 'gør', 'de', 'det', 'kun', 'det', 'blir', 'værst', 'for', 'dem', 'selv', 'for', 'da', 'får', 'min', 'mand', 'rigtig', 'se', 'hvilket', 'slet', 'menneske', 'de', 'er', 'og', 'da', 'får', 'de', 'nu', 'aldeles', 'ikke', 'beholde', 'posten']"
krogstad ,"['jeg', 'spurgte', 'om', 'det', 'bare', 'var', 'huslige', 'ubehage', 'ligheder', 'de', 'var', 'bange', 'for']"
nora ,"['får', 'min', 'mand', 'det', 'at', 'vide', 'så', 'vil', 'han', 'natur', 'ligvis', 'straks', 'betale', 'hvad', 'der', 'står', 'til', 'rest', 'og', 'så', 'har', 'vi', 'ikke', 'mere', 'med', 'dem', 'at', 'skaffe']"
krogstad ,"['hør', 'fru', 'helmer', '–', 'enten', 'har', 'de', 'ikke', 'nogen', 'stærk', 'hukommelse', 'eller', 'også', 'har', 'de', 'ikke', 'videre', 'skøn', 'på', 'forretninger', 'jeg', 'får', 'nok', 'sætte', 'dem', 'lidt', 'grundigere', 'ind', 'i', 'sagen']"
nora ,"['hvorledes', 'det']"
krogstad ,"['da', 'deres', 'mand', 'var', 'syg', 'kom', 'de', 'til', 'mig', 'for', 'at', 'få', 'låne', 'tolv', 'hundrede', 'specier']"
nora ,"['jeg', 'vidste', 'ingen', 'anden']"
krogstad ,"['jeg', 'loved', 'da', 'at', 'skaffe', 'dem', 'beløbet', '–']"
nora ,"['de', 'skaffed', 'det', 'jo', 'også']"
krogstad ,"['jeg', 'loved', 'at', 'skaffe', 'dem', 'beløbet', 'på', 'visse', 'be', 'tingelser', 'de', 'var', 'dengang', 'så', 'optagen', 'af', 'deres', 'mands', 'sygdom', 'og', 'så', 'ivrig', 'for', 'at', 'få', 'rejsepenge', 'at', 'jeg', 'tror', 'de', 'ikke', 'havde', 'videre', 'tanke', 'for', 'alle', 'biomstændighederne', 'det', 'er', 'derfor', 'ikke', 'afvejen', 'at', 'minde', 'dem', 'om', 'dette', 'nå', 'jeg', 'loved', 'at', 'skaffe', 'dem', 'pengene', 'mod', 'et', 'gældsbevis', 'som', 'jeg', 'affatted', '\u200b', 'nora', 'ja', 'og', 'som', 'jeg', 'underskrev']"
krogstad ,"['godt', 'men', 'nedenunder', 'tilføjed', 'jeg', 'nogle', 'linjer', 'hvori', 'deres', 'fader', 'indestod', 'for', 'gælden', 'disse', 'linjer', 'skulde', 'deres', 'fader', 'underskrive']"
nora ,"['skulde', '–', 'han', 'underskrev', 'jo']"
krogstad ,"['jeg', 'havde', 'sat', 'datum', 'in', 'blanco', 'det', 'vil', 'sige', 'deres', 'fader', 'skulde', 'selv', 'anføre', 'på', 'hvilken', 'dag', 'han', 'underskrev', 'papiret', 'husker', 'fruen', 'det']"
nora ,"['ja', 'jeg', 'tror', 'nok', '–']"
krogstad ,"['jeg', 'overgav', 'dem', 'derpå', 'gældsbeviset', 'for', 'at', 'de', 'skulde', 'sende', 'det', 'i', 'posten', 'til', 'deres', 'fader', 'var', 'det', 'ikke', 'så']"
nora ,['jo']
krogstad ,"['og', 'det', 'gjorde', 'de', 'naturligvis', 'også', 'straks', 'for', 'allerede', 'en', 'fem–sex', 'dage', 'efter', 'bragte', 'de', 'mig', 'beviset', 'med', 'deres', 'faders', 'underskrift', 'så', 'fik', 'de', 'da', 'beløbet', 'udbetalt']"
nora ,"['nu', 'ja', 'har', 'jeg', 'ikke', 'afbetalt', 'ordentligt']"
krogstad ,"['så', 'temmelig', 'jo', 'men', '–', 'for', 'at', 'komme', 'tilbage', 'til', 'det', 'vi', 'talte', 'om', '–', 'det', 'var', 'nok', 'en', 'tung', 'tid', 'for', 'dem', 'dengang', 'frue']"
nora ,"['ja', 'det', 'var', 'det']"
krogstad ,"['deres', 'fader', 'lå', 'nok', 'meget', 'syg', 'tror', 'jeg']"
nora ,"['han', 'lå', 'på', 'sit', 'yderste']"
krogstad ,"['døde', 'nok', 'kort', 'efter']"
nora ,['ja']
krogstad ,"['sig', 'mig', 'fru', 'helmer', 'skulde', 'de', 'tilfældigvis', 'huske', 'deres', 'faders', 'dødsdag', 'hvad', 'dag', 'i', 'måne', 'den', 'mener', 'jeg']"
nora ,"['pappa', 'døde', 'den', '29', 'september']"
krogstad ,"['det', 'er', 'ganske', 'rigtigt', 'det', 'har', 'jeg', 'erkyndiget', 'mig', 'om', 'og', 'derfor', 'er', 'der', 'en', 'besynderlighed', 'som', 'jeg', 'slet', 'ikke', 'kan', 'forklare', 'mig']"
nora ,"['hvilken', 'besynderlighed', 'jeg', 'ved', 'ikke', '–']"
krogstad ,"['det', 'er', 'den', 'besynderlighed', 'frue', 'at', 'deres', 'fader', 'har', 'underskrevet', 'dette', 'gældsbevis', 'tre', 'dage', 'efter', 'sin', 'død']"
nora ,"['hvorledes', 'jeg', 'forstår', 'ikke', '–']"
krogstad ,"['deres', 'fader', 'døde', 'den', '29', 'september', 'men', 'se', 'her', 'her', 'har', 'deres', 'fader', 'dateret', 'sin', 'under', 'skrift', 'den', '2', 'oktober', 'er', 'ikke', 'det', 'besynderligt', 'frue']"
krogstad ,"['kan', 'de', 'forklare', 'mig', 'det']"
krogstad ,"['påfaldende', 'er', 'det', 'også', 'at', 'ordene', '2', 'oktober', 'og', 'årstallet', 'ikke', 'er', 'skrevet', 'med', 'deres', 'faders', 'håndskrift', 'men', 'med', 'en', 'håndskrift', 'som', 'jeg', 'synes', 'jeg', 'skulde', 'kende', 'nå', 'det', 'lar', 'sig', 'jo', 'forklare', 'deres', 'fader', 'kan', 'have', 'glemt', 'at', 'datere', 'sin', 'under', 'skrift', 'og', 'så', 'har', 'en', 'eller', 'anden', 'gjort', 'det', 'på', 'måfå', 'her', 'forinden', 'man', 'endnu', 'vidste', 'om', 'døds', 'faldet', 'der', 'er', 'ikke', 'noget', 'ondt', 'i', 'det', 'det', 'er', 'navnets', 'underskrift', 'det', 'kommer', 'an', 'på', 'og', 'den', 'er', 'jo', 'ægte', 'fru', 'helmer', 'det', 'er', 'jo', 'virkelig', 'deres', 'fader', 'som', 'selv', 'har', 'skrevet', 'sit', 'navn', 'her']"
nora ,"['nej', 'det', 'er', 'ikke', 'det', 'er', 'mig', 'som', 'har', 'skrevet', 'pappas', 'navn']"
krogstad ,"['hør', 'frue', '–', 'ved', 'de', 'vel', 'at', 'dette', 'er', 'en', 'farlig', 'tilståelse']"
nora ,"['hvorfor', 'det', 'de', 'skal', 'snart', 'få', 'deres', 'penge']"
krogstad ,"['må', 'jeg', 'gøre', 'dem', 'et', 'spørgsmål', '–', 'hvorfor', 'sendte', 'de', 'ikke', 'papiret', 'til', 'deres', 'fader']"
nora ,"['det', 'var', 'umuligt', 'pappa', 'lå', 'jo', 'syg', 'hvis', 'jeg', 'skulde', 'have', 'bedt', 'om', 'hans', 'underskrift', 'så', 'måtte', 'jeg', 'også', 'sagt', 'ham', 'hvad', 'pengene', 'skulde', 'bruges', 'til', 'men', 'jeg', 'kunde', 'jo', 'ikke', 'sige', 'ham', 'så', 'syg', 'som', 'han', 'var', 'at', 'min', 'mands', 'liv', 'stod', 'i', 'fare', 'det', 'var', 'jo', 'umuligt', '\u200b', 'krogstad', 'så', 'havde', 'det', 'været', 'bedre', 'for', 'dem', 'om', 'de', 'havde', 'opgivet', 'den', 'udenlandsrejse']"
nora ,"['nej', 'det', 'var', 'umuligt', 'den', 'rejse', 'skulde', 'jo', 'redde', 'min', 'mands', 'liv', 'den', 'kunde', 'jeg', 'ikke', 'opgive']"
krogstad ,"['men', 'tænkte', 'de', 'da', 'ikke', 'på', 'at', 'det', 'var', 'et', 'bedrageri', 'imod', 'mig', '–']"
nora ,"['det', 'kunde', 'jeg', 'aldeles', 'ikke', 'tage', 'noget', 'hensyn', 'til', 'jeg', 'brød', 'mig', 'slet', 'ikke', 'om', 'dem', 'jeg', 'kunde', 'ikke', 'udstå', 'dem', 'for', 'alle', 'de', 'kolde', 'vanskeligheder', 'de', 'gjorde', 'skønt', 'de', 'vidste', 'hvor', 'farligt', 'det', 'stod', 'til', 'med', 'min', 'mand']"
krogstad ,"['fru', 'helmer', 'de', 'har', 'åbenbart', 'ikke', 'nogen', 'klar', 'forestilling', 'om', 'hvad', 'det', 'egentlig', 'er', 'for', 'noget', 'de', 'har', 'gjort', 'dem', 'skyldig', 'i', 'men', 'jeg', 'kan', 'fortælle', 'dem', 'at', 'det', 'var', 'hverken', 'noget', 'mere', 'eller', 'noget', 'værre', 'det', 'jeg', 'engang', 'begik', 'og', 'som', 'ødelagde', 'hele', 'min', 'borgerlige', 'stilling']"
nora ,"['de', 'vil', 'de', 'bilde', 'mig', 'ind', 'at', 'de', 'skulde', 'have', 'foretaget', 'dem', 'noget', 'modigt', 'for', 'at', 'redde', 'deres', 'hustrus', 'liv']"
krogstad ,"['lovene', 'spørger', 'ikke', 'om', 'bevæggrunde']"
nora ,"['da', 'må', 'det', 'være', 'nogen', 'meget', 'dårlige', 'love']"
krogstad ,"['dårlige', 'eller', 'ikke', '–', 'fremlægger', 'jeg', 'dette', 'papir', 'i', 'retten', 'så', 'blir', 'de', 'dømt', 'efter', 'lovene']"
nora ,"['det', 'tror', 'jeg', 'aldeles', 'ikke', 'en', 'datter', 'skulde', 'ikke', 'have', 'ret', 'til', 'at', 'skåne', 'sin', 'gamle', 'dødssyge', 'fader', 'for', 'ængstelser', 'og', 'bekymringer', 'skulde', 'ikke', 'en', 'hustru', 'have', 'ret', 'til', 'at', 'redde', 'sin', 'mands', 'liv', 'jeg', 'kender', 'ikke', 'lovene', 'så', 'nøje', 'men', 'jeg', 'er', 'viss', 'på', 'at', 'der', 'må', 'stå', 'etsteds', 'i', 'dem', 'at', 'sådant', 'er', 'tilladt', 'og', 'det', 'ved', 'ikke', 'de', 'besked', 'om', 'de', 'som', 'er', 'sagfører', 'de', 'må', 'være', 'en', 'dårlig', 'jurist', 'herr', 'krogstad']"
krogstad ,"['kan', 'så', 'være', 'men', 'forretninger', '–', 'slige', 'forretninger', 'som', 'vi', 'to', 'har', 'med', 'hinanden', '–', 'dem', 'tror', 'de', 'dog', 'vel', 'jeg', 'forstår', 'mig', 'på', 'godt', 'gør', 'nu', 'hvad', 'de\u200b', 'lyster', 'men', 'det', 'siger', 'jeg', 'dem', 'blir', 'jeg', 'udstødt', 'for', 'anden', 'gang', 'så', 'skal', 'de', 'gøre', 'mig', 'selskab']"
nora ,"['å', 'hvad', '–', 'at', 'ville', 'gøre', 'mig', 'bange', 'så', 'enfoldig', 'er', 'jeg', 'da', 'ikke', 'men', '–', '–', '–', 'nej', 'men', 'det', 'er', 'jo', 'umuligt', 'jeg', 'gjorde', 'det', 'jo', 'af', 'kærlighed']"
børnene ,"['mamma', 'nu', 'gik', 'den', 'fremmede', 'mand', 'ud', 'igennem', 'porten']"
nora ,"['ja', 'ja', 'jeg', 'ved', 'det', 'men', 'tal', 'ikke', 'til', 'nogen', 'om', 'den', 'fremmede', 'mand', 'hører', 'i', 'det', 'ikke', 'til', 'pappa', 'heller']"
børnene ,"['nej', 'mamma', 'men', 'vil', 'du', 'så', 'lege', 'igen']"
nora ,"['nej', 'nej', 'ikke', 'nu']"
børnene ,"['å', 'men', 'mamma', 'du', 'loved', 'det', 'jo']"
nora ,"['ja', 'men', 'jeg', 'kan', 'ikke', 'nu', 'gå', 'ind', 'jeg', 'har', 'så', 'meget', 'at', 'gøre', 'gå', 'ind', 'gå', 'ind', 'kære', 'søde', 'børn']"
nora ,"['nej', 'helene', 'lad', 'mig', 'få', 'træet', 'ind', 'nej', 'men', 'det', 'er', 'jo', 'aldeles', 'umuligt']"
stuepigen ,"['hvor', 'skal', 'jeg', 'sætte', 'det', 'frue']"
nora ,"['der', 'midt', 'på', 'gulvet']"
stuepigen ,"['skal', 'jeg', 'ellers', 'hente', 'noget']"
nora ,"['nej', 'tak', 'jeg', 'har', 'hvad', 'jeg', 'behøver']"
nora ,"['her', 'skal', 'lys', '–', 'og', 'her', 'skal', 'blomster', '–', 'det', 'afskyelige', 'menneske', 'snak', 'snak', 'snak', 'der', 'er', 'ingen', 'ting', 'ivejen', 'juletræet', 'skal', 'blive', 'dejligt', 'jeg', 'vil', 'gøre', 'alt', 'hvad', 'du', 'har', 'lyst', 'til', 'torvald', '–', 'jeg', 'skal', 'synge', 'for', 'dig', 'danse', 'for', 'dig', '–', '\u200b']"
nora ,"['ah', '–', 'kommer', 'du', 'alt', 'igen']"
helmer ,"['ja', 'har', 'her', 'været', 'nogen']"
