character_name,character_speech
nora ,"['du', 'kunde', 'give', 'mig', 'penge', 'torvald', 'bare', 'så', 'meget', 'som', 'du', 'synes', 'du', 'kan', 'afse', 'så', 'skal', 'jeg', 'siden', 'en', 'af', 'dagene', 'købe', 'noget', 'for', 'dem']"
helmer ,"['nej', 'men', 'nora', '–']"
nora ,"['å', 'jo', 'gør', 'det', 'kære', 'torvald', 'jeg', 'ber', 'dig', 'så', 'meget', 'om', 'det', 'så', 'skulde', 'jeg', 'hænge', 'pengene', 'i', 'et', 'smukt', 'guldpapirs', 'omslag', 'på', 'juletræet', 'vilde', 'ikke', 'det', 'være', 'morsomt']"
helmer ,"['hvad', 'er', 'det', 'de', 'fugle', 'kaldes', 'som', 'altid', 'sætter', 'penge', 'overstyr']"
nora ,"['ja', 'ja', 'spillefugle', 'jeg', 'ved', 'det', 'nok', 'men', 'lad', 'os', 'gøre', 'som', 'jeg', 'siger', 'torvald', 'så', 'får', 'jeg', 'tid', 'til', 'at', 'overlægge', 'hvad', 'jeg', 'mest', 'har', 'brug', 'for', 'er', 'ikke', 'det', 'meget', 'fornuftigt', 'hvad']"
helmer ,"['jo', 'visst', 'er', 'det', 'så', 'det', 'vil', 'sige', 'hvis', 'du', 'virke', 'lig', 'kunde', 'holde', 'på', 'de', 'penge', 'jeg', 'gier', 'dig', 'og', 'virkelig', 'købte', 'noget', 'til', 'dig', 'selv', 'for', 'dem', 'men', 'så', 'går', 'de', 'til', 'huset', 'og', 'til', 'så', 'mangt', 'og', 'meget', 'unyttigt', 'og', 'så', 'må', 'jeg', 'punge', 'ud', 'igen']"
nora ,"['å', 'men', 'torvald', '–']"
helmer ,"['kan', 'ikke', 'nægtes', 'min', 'kære', 'lille', 'nora', 'spillefuglen', 'er', 'sød', 'men', 'den', 'bruger', 'svært', 'mange', 'penge', 'det', 'er', 'utroligt', 'hvor', 'kostbart', 'det', 'er', 'for', 'en', 'mand', 'at', 'holde', 'spillefugl']"
nora ,"['å', 'fy', 'hvor', 'kan', 'du', 'da', 'sige', 'det', 'jeg', 'sparer', 'dog', 'virkelig', 'alt', 'hvad', 'jeg', 'kan']"
helmer ,"['ja', 'det', 'var', 'et', 'sandt', 'ord', 'alt', 'hvad', 'du', 'kan', 'men', 'du', 'kan', 'slet', 'ikke']"
nora ,"['hm', 'du', 'skulde', 'bare', 'vide', 'hvor', 'mange', 'ud', 'gifter', 'vi', 'lærker', 'og', 'ekorne', 'har', 'torvald']"
helmer ,"['du', 'er', 'en', 'besynderlig', 'liden', 'en', 'ganske', 'som', 'din', 'fader', 'var', 'du', 'er', 'om', 'dig', 'på', 'alle', 'kanter', 'for', 'at', 'gøre', 'udvej', 'til', 'penge', 'men', 'så', 'snart', 'du', 'har', 'dem', 'blir', 'de', 'ligesom', 'borte', 'mellem', 'hænderne', 'på', 'dig', 'du', 'ved', 'aldrig', 'hvor', 'du', 'gør', 'af', 'dem', 'nå', 'man', 'må', 'tage', 'dig', 'som', 'du', 'er', 'det', 'ligger', 'i', 'blo', 'det', 'jo', 'jo', 'jo', 'sligt', 'er', 'arveligt', 'nora']"
